id,Tipo,Nombre,Piedra,Comentario,"Si se agrega un comentario, modificar la fórmula de id"
111610100,Collar,--,Adularia,,
111610200,Collar,--,Ágata,,
111610300,Collar,--,Ágata Amarilla,,
111610400,Collar,--,Ágata Azul,,
111610500,Collar,--,Ágata Cinta Azul,,
111610600,Collar,--,Ágata Cornalina,,
111610700,Collar,--,Ágata Fucsia,,
111610800,Collar,--,Ágata Musgosa,,
111610900,Collar,--,Ágata Roja,,
111611000,Collar,--,Ágata Verde,,
111611100,Collar,--,Aguamarina,,
111611200,Collar,--,Aguamarina Teñida,,
111611300,Collar,--,Amatista,,
111611400,Collar,--,Amazonita,,
111611500,Collar,--,Ámbar,,
111611600,Collar,--,Azurita,,
111611700,Collar,--,Cianita,,
111611800,Collar,--,Cianita Negra,,
111611900,Collar,--,Citrino,,
111612000,Collar,--,Coral Rojo,,
111612100,Collar,--,Cuarzo Ahumado,,
111612200,Collar,--,Cuarzo Aura,,
111612300,Collar,--,Cuarzo Azul,,
111612400,Collar,--,Cuarzo Blanco,,
111612500,Collar,--,Cuarzo Cherry,,
111612600,Collar,--,Cuarzo Cristal,,
111612700,Collar,--,Cuarzo Cristal Veteado,,
111612800,Collar,--,Cuarzo Rosa,,
111612900,Collar,--,Cuarzo Turmalinado,,
111613000,Collar,--,Cuarzo Verde,,
111613100,Collar,--,Diamate Hérkimer,,
111613200,Collar,--,Esmeralda,,
111613300,Collar,--,Fluorita,,
111613400,Collar,--,Fluorita Arcoiris,,
111613500,Collar,--,Goldstone Azul,,
111613600,Collar,--,Goldstone Marrón,,
111613700,Collar,--,Granate,,
111613800,Collar,--,Hematite,,
111613900,Collar,--,Howlita Blanca,,
111614000,Collar,--,Howlita Roja,,
111614100,Collar,--,Howlita Turquesa,,
111614200,Collar,--,Jade Chino,,
111614300,Collar,--,Jade Taiwan,,
111614400,Collar,--,Jaspe Cebra,,
111614500,Collar,--,Jaspe Dalmata,,
111614600,Collar,--,Jaspe Madera,,
111614700,Collar,--,Jaspe Marrón,,
111614800,Collar,--,Jaspe Mokaite,,
111614900,Collar,--,Jaspe rojo,,
111615000,Collar,--,Jaspe Verde,,
111615100,Collar,--,Labradorita,,
111615200,Collar,--,Labradorita Azul,,
111615300,Collar,--,Labradorita Gris,,
111615400,Collar,--,Labradorita Verde,,
111615500,Collar,--,Lapislazuli,,
111615600,Collar,--,Larvikita,,
111615700,Collar,--,Malaquita,,
111615800,Collar,--,Malaquita Natural,,
111615900,Collar,--,Moldavita,,
111616000,Collar,--,Nacar,,
111616100,Collar,--,Nacar Blanco,,
111616200,Collar,--,Obsidiana Dorada,,
111616300,Collar,--,Obsidiana Negra,,
111616400,Collar,--,Obsidiana Nevada,,
111616500,Collar,--,Obsidiana Plateada,,
111616600,Collar,--,Ojo de Buey,,
111616700,Collar,--,Ojo de Gato,,
111616800,Collar,--,Ojo De Halcon,,
111616900,Collar,--,Ojo de Tigre,,
111617000,Collar,--,Onix Amarillo,,
111617100,Collar,--,Onix Blaco Brilloso,,
111617200,Collar,--,Onix Blanco Opaco,,
111617300,Collar,--,Onix Champagne,,
